Fruit_ID,Fruit_Type,Size_cm,Weight_g,Color_Intensity,Ripeness_Level,Firmness,Sweetness,Defect_Count,Bruise_Score,Spot_Score,Defect_Score,Size_to_Weight_Ratio,Grade
FR00001,Peach,5.98,141.19,0.4,0.08,0.91,0.18,0,0.05,0.6,0.14,4.24,Reject
FR00002,Orange,7.6,154.18,0.34,0.57,0.04,0.51,1,0.1,0.44,0.17,4.93,Local
FR00003,Pear,9.99,207.51,0.58,0.39,0.12,0.54,2,0.42,0.45,0.32,4.82,Reject
FR00004,Grapes,1.86,4.54,0.34,0.48,0.94,0.76,2,0.48,0.65,0.38,40.93,Local
FR00005,Peach,6.13,154.68,0.78,0.63,0.13,0.35,0,0.38,0.72,0.26,3.96,Local
FR00006,Watermelon,29.35,4763.69,0.83,0.64,0.74,0.09,3,0.57,0.48,0.42,0.62,Local
FR00007,Mango,10.68,305.0,0.9,0.96,0.45,0.6,2,0.81,0.8,0.5,3.5,Local
FR00008,Peach,7.42,149.16,0.82,0.66,0.41,0.79,1,0.68,0.52,0.36,4.98,Local
FR00009,Pear,7.71,198.33,0.94,0.34,0.66,0.97,3,0.87,0.51,0.51,3.89,Reject
FR00010,Grapes,1.78,4.15,0.82,0.33,0.73,0.09,1,0.62,0.65,0.36,42.82,Reject
FR00011,Orange,7.19,136.82,0.96,0.48,0.93,0.75,0,0.11,0.79,0.19,5.25,Local
FR00012,Pear,8.76,141.09,0.44,0.26,0.26,0.6,1,0.15,0.6,0.21,6.21,Reject
FR00013,Pear,10.04,210.45,0.65,0.38,0.7,0.02,1,0.39,0.92,0.35,4.77,Reject
FR00014,Mango,8.43,286.69,1.0,0.84,0.34,0.72,3,0.28,0.88,0.41,2.94,Local
FR00015,Pomegranate,8.12,315.99,0.78,0.86,0.72,0.03,4,0.65,0.77,0.55,2.57,Local
FR00016,Grapes,1.98,5.02,0.92,0.63,0.14,0.79,1,0.63,0.46,0.33,39.5,Local
FR00017,Banana,17.6,141.82,0.32,0.58,0.46,0.72,4,0.46,0.61,0.46,12.41,Local
FR00018,Pear,7.66,196.41,0.91,0.43,0.18,0.69,0,0.64,0.51,0.29,3.9,Local
FR00019,Pomegranate,10.19,310.09,0.79,0.64,0.34,0.12,2,0.91,0.01,0.37,3.29,Local
FR00020,Banana,23.02,110.48,0.42,0.81,0.72,0.92,0,0.49,0.66,0.28,20.84,Local
FR00021,Grapes,2.23,4.92,0.32,0.74,0.23,0.9,1,0.35,0.92,0.34,45.32,Local
FR00022,Apple,9.18,159.82,0.48,0.04,0.68,0.9,1,0.48,0.52,0.3,5.75,Reject
FR00023,Watermelon,23.84,5979.55,0.94,0.73,0.5,0.36,0,0.15,0.17,0.08,0.4,Local
FR00024,Pomegranate,8.47,220.67,0.77,0.72,0.09,0.49,1,0.1,0.46,0.17,3.84,Local
FR00025,Strawberry,3.28,21.86,0.94,0.1,0.39,0.11,0,0.41,0.0,0.12,15.02,Reject
FR00026,Apple,9.34,162.67,0.61,0.15,0.87,0.05,0,0.92,0.74,0.42,5.74,Reject
FR00027,Watermelon,28.95,3981.37,0.96,0.79,0.99,0.06,2,0.86,0.67,0.49,0.73,Local
FR00028,Mango,10.41,239.18,0.62,0.56,0.37,0.57,0,0.68,0.65,0.33,4.35,Local
FR00029,Peach,6.9,141.77,0.44,0.82,0.05,0.32,2,0.72,0.43,0.4,4.87,Local
FR00030,Orange,8.12,139.99,0.41,0.18,0.13,0.58,4,0.86,0.39,0.54,5.8,Reject
FR00031,Strawberry,3.56,19.86,1.0,0.03,0.79,0.59,1,0.92,0.27,0.38,17.91,Reject
FR00032,Mango,9.78,245.74,0.53,0.16,0.66,0.91,0,0.66,0.92,0.38,3.98,Reject
FR00033,Grapes,1.97,4.88,0.41,0.45,0.29,0.88,1,0.39,0.37,0.24,40.31,Local
FR00034,Mango,11.04,252.84,0.31,0.52,0.39,0.72,0,0.15,0.55,0.16,4.37,Local
FR00035,Peach,6.64,166.73,0.5,0.86,0.81,0.82,2,0.01,0.46,0.19,3.98,Local
FR00036,Grapes,1.72,4.46,0.92,0.72,0.41,0.0,1,0.65,0.66,0.38,38.56,Local
FR00037,Strawberry,4.67,16.89,0.67,0.99,0.76,0.02,4,0.4,0.98,0.52,27.64,Local
FR00038,Peach,5.86,155.42,0.74,0.08,0.3,0.46,1,0.08,0.58,0.19,3.77,Reject
FR00039,Banana,13.51,115.77,0.95,0.13,0.72,0.65,2,0.28,0.41,0.27,11.67,Reject
FR00040,Orange,9.43,115.24,0.66,0.08,0.47,0.79,1,0.47,0.61,0.31,8.18,Reject
FR00041,Strawberry,2.67,15.5,0.89,0.54,0.55,0.45,3,0.78,0.03,0.39,17.21,Local
FR00042,Banana,19.94,140.25,0.53,0.27,0.6,0.94,1,0.31,0.9,0.33,14.22,Reject
FR00043,Watermelon,23.46,5512.41,0.98,0.68,0.45,0.81,1,0.66,0.17,0.28,0.43,Local
FR00044,Strawberry,4.08,25.36,0.36,0.13,0.47,0.1,2,0.04,0.54,0.22,16.1,Reject
FR00045,Watermelon,24.26,3273.9,0.81,0.1,0.27,0.44,3,0.96,0.38,0.51,0.74,Reject
FR00046,Grapes,1.8,4.68,0.76,0.46,0.99,0.99,2,0.97,0.85,0.56,38.53,Reject
FR00047,Banana,17.44,116.62,0.43,0.38,0.91,0.41,2,0.53,0.96,0.45,14.96,Reject
FR00048,Orange,8.51,178.67,0.57,0.83,0.53,0.39,2,0.66,0.06,0.31,4.76,Local
FR00049,Peach,6.86,163.07,0.52,0.84,0.03,0.29,0,0.76,0.21,0.27,4.2,Local
FR00050,Pear,9.39,181.74,0.37,0.12,0.17,0.49,2,0.97,0.85,0.56,5.16,Reject
FR00051,Mango,12.2,252.71,0.71,0.81,0.85,0.73,2,0.54,0.45,0.35,4.83,Local
FR00052,Apple,9.98,125.48,1.0,0.56,0.93,0.05,0,0.76,0.63,0.35,7.95,Local
FR00053,Orange,7.04,147.15,0.69,0.5,0.16,0.84,0,0.19,0.37,0.13,4.78,Local
FR00054,Banana,18.95,142.82,0.68,0.09,0.73,0.92,2,0.15,0.53,0.25,13.27,Reject
FR00055,Pear,8.97,141.6,0.33,0.74,0.62,0.78,2,0.71,0.27,0.37,6.34,Local
FR00056,Orange,8.26,166.99,0.4,0.06,0.3,0.92,0,0.92,0.59,0.4,4.95,Reject
FR00057,Banana,13.81,119.93,0.66,0.28,0.44,0.09,4,0.57,0.43,0.46,11.51,Reject
FR00058,Pomegranate,7.28,252.08,0.99,0.1,0.68,0.45,3,0.53,0.68,0.45,2.89,Reject
FR00059,Pomegranate,8.02,313.99,0.91,0.53,0.1,0.07,1,0.57,0.61,0.34,2.56,Local
FR00060,Watermelon,25.35,4035.81,0.54,0.65,0.19,0.84,2,0.88,0.13,0.39,0.63,Local
FR00061,Orange,8.29,117.74,0.68,0.89,0.03,0.95,0,0.8,0.19,0.28,7.04,Local
FR00062,Pomegranate,9.36,245.81,0.69,0.73,0.9,0.3,1,0.8,0.02,0.3,3.81,Local
FR00063,Banana,17.21,129.08,0.78,0.96,0.57,0.54,2,0.11,0.36,0.2,13.33,Export
FR00064,Watermelon,26.56,6002.73,0.78,0.76,0.52,0.3,0,0.76,0.27,0.28,0.44,Local
FR00065,Banana,17.82,125.52,0.85,0.3,0.71,0.38,3,0.77,0.08,0.4,14.2,Reject
FR00066,Watermelon,23.69,5136.49,0.32,0.55,0.99,0.48,3,0.13,0.68,0.33,0.46,Local
FR00067,Orange,7.9,147.79,0.96,0.46,0.17,0.79,1,0.47,0.72,0.33,5.34,Local
FR00068,Pear,7.05,188.95,0.35,0.57,0.13,0.15,1,0.1,0.66,0.21,3.73,Local
FR00069,Peach,7.31,125.72,0.63,0.57,0.29,0.16,0,0.4,0.23,0.17,5.81,Local
FR00070,Strawberry,2.96,24.43,0.94,0.7,0.9,0.2,1,0.64,0.63,0.37,12.12,Local
